CoreId,Identifier,type,rightsHolder,creator,accessURI,format,variantLiteral,license
105783728@OBS,https://observation.org/photos/9364504/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364504.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783728@OBS,https://observation.org/photos/9364502/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364502.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783711@OBS,https://observation.org/photos/9364496/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364496.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783711@OBS,https://observation.org/photos/9364493/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364493.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783711@OBS,https://observation.org/photos/9364490/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364490.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783711@OBS,https://observation.org/photos/9364485/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364485.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783711@OBS,https://observation.org/photos/9364481/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364481.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783703@OBS,https://observation.org/photos/9364477/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364477.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783703@OBS,https://observation.org/photos/9364472/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364472.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783698@OBS,https://observation.org/photos/9364467/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364467.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783670@OBS,https://observation.org/photos/9364453/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364453.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783636@OBS,https://observation.org/photos/9364452/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364452.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783636@OBS,https://observation.org/photos/9364450/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364450.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783636@OBS,https://observation.org/photos/9364448/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364448.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783626@OBS,https://observation.org/photos/9364443/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364443.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783626@OBS,https://observation.org/photos/9364441/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364441.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783626@OBS,https://observation.org/photos/9364440/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364440.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783626@OBS,https://observation.org/photos/9364438/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364438.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783618@OBS,https://observation.org/photos/9364434/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364434.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783618@OBS,https://observation.org/photos/9364432/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364432.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783564@OBS,https://observation.org/photos/9364430/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364430.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783556@OBS,https://observation.org/photos/9364429/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364429.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783556@OBS,https://observation.org/photos/9364427/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364427.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783556@OBS,https://observation.org/photos/9364425/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364425.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783556@OBS,https://observation.org/photos/9364423/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364423.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783550@OBS,https://observation.org/photos/9364422/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364422.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783550@OBS,https://observation.org/photos/9364420/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364420.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783486@OBS,https://observation.org/photos/9364417/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364417.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783486@OBS,https://observation.org/photos/9364407/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364407.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783480@OBS,https://observation.org/photos/9364398/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364398.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783480@OBS,https://observation.org/photos/9364394/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364394.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783475@OBS,https://observation.org/photos/9364390/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364390.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783440@OBS,https://observation.org/photos/9364356/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364356.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783435@OBS,https://observation.org/photos/9364353/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364353.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783418@OBS,https://observation.org/photos/9364343/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364343.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783405@OBS,https://observation.org/photos/9364341/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364341.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783405@OBS,https://observation.org/photos/9364339/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364339.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783405@OBS,https://observation.org/photos/9364338/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364338.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783405@OBS,https://observation.org/photos/9364336/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364336.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783192@OBS,https://observation.org/photos/9364294/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364294.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783192@OBS,https://observation.org/photos/9364292/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364292.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783192@OBS,https://observation.org/photos/9364290/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364290.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783192@OBS,https://observation.org/photos/9364288/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364288.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783192@OBS,https://observation.org/photos/9364284/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364284.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783192@OBS,https://observation.org/photos/9364058/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364058.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783192@OBS,https://observation.org/photos/9364057/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364057.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783190@OBS,https://observation.org/photos/9364053/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364053.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783190@OBS,https://observation.org/photos/9364050/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364050.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783182@OBS,https://observation.org/photos/9364041/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364041.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783182@OBS,https://observation.org/photos/9364040/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364040.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783182@OBS,https://observation.org/photos/9364037/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9364037.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783051@OBS,https://observation.org/photos/9363958/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363958.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105783051@OBS,https://observation.org/photos/9363957/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363957.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782887@OBS,https://observation.org/photos/9363945/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363945.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782887@OBS,https://observation.org/photos/9363944/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363944.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782883@OBS,https://observation.org/photos/9363940/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363940.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782883@OBS,https://observation.org/photos/9363939/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363939.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782872@OBS,https://observation.org/photos/9363934/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363934.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782872@OBS,https://observation.org/photos/9363932/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363932.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782872@OBS,https://observation.org/photos/9363930/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363930.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782863@OBS,https://observation.org/photos/9363924/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363924.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782863@OBS,https://observation.org/photos/9363922/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363922.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782851@OBS,https://observation.org/photos/9363920/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363920.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782851@OBS,https://observation.org/photos/9363919/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363919.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782851@OBS,https://observation.org/photos/9363918/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363918.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782851@OBS,https://observation.org/photos/9363915/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363915.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782851@OBS,https://observation.org/photos/9363911/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363911.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782838@OBS,https://observation.org/photos/9363906/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363906.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782801@OBS,https://observation.org/photos/9363894/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363894.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782801@OBS,https://observation.org/photos/9363893/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363893.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782801@OBS,https://observation.org/photos/9363892/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363892.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782779@OBS,https://observation.org/photos/9363889/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363889.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782779@OBS,https://observation.org/photos/9363888/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363888.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782779@OBS,https://observation.org/photos/9363887/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363887.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782760@OBS,https://observation.org/photos/9363885/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363885.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782760@OBS,https://observation.org/photos/9363882/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363882.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782760@OBS,https://observation.org/photos/9363880/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363880.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782760@OBS,https://observation.org/photos/9363878/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363878.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782739@OBS,https://observation.org/photos/9363873/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363873.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782739@OBS,https://observation.org/photos/9363872/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363872.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782739@OBS,https://observation.org/photos/9363871/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363871.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782739@OBS,https://observation.org/photos/9363870/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363870.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782696@OBS,https://observation.org/photos/9363847/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363847.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782696@OBS,https://observation.org/photos/9363843/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363843.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782685@OBS,https://observation.org/photos/9363842/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363842.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782685@OBS,https://observation.org/photos/9363841/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363841.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782685@OBS,https://observation.org/photos/9363840/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363840.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
105782685@OBS,https://observation.org/photos/9363836/,StillImage,Kjell Nilsen,Kjell Nilsen,https://observation.org/photos/9363836.jpg,image/jpeg,Best Quality,CC BY-NC-ND 4.0
